,MSPE h=1,MSPE h=12,MAPE h=1,MAPE h=12
PM,1.0,1.0,1.0,1.0
PAR,1.029674793654964,,1.0110268238666853,
AR p=1,0.9956813884044112,1.0315341435095144,1.0086534978399684,0.9995843957699909
ARX p=1,1.9101351553661863,30.38716289963411,1.1945071831781293,1.9997158070032357
LAR p=1,0.9955321241219006,1.028599554108847,1.0085921202917079,0.9998452263291631
LARX p=1,1.4005567188409067,1.0771739762033727,1.0248920703407458,1.034815691661328
RAR p=1,0.9941949317693815,1.0301130616285716,1.0073363020059298,0.9995008806372226
RARX p=1,1.6777951900628891,2.305287075538305,1.0701353428136922,1.1839946089447466
EAR p=1,0.995512778893077,1.0285996472600811,1.0085855285283225,0.9998435484295138
EARX p=1,1.403918842256584,1.0755670951078504,1.0256214176793332,1.0339131209763
TAR p=1,0.9330124677711362,1.0389494934217023,0.9911439098563575,1.0062808201316906
TARX p=1,1.1813220349519975,40.70952886718507,1.029487577761388,2.6106207684761946
TRAR p=1,0.930706001530829,1.0388035861676967,0.9871603325615155,1.0066820783041053
TRARX p=1,1.1870723465356154,1.0111212358189094,1.017339264024923,0.9890879067542355
AR p=12,1.0989149823426503,1.0363047738329123,1.0037263294216032,1.0205943407237645
ARX p=12,6.906235783784609,41.53404757574441,2.5587109869723434,5.3271446339227175
LAR p=12,1.0509962375401225,1.0323130736230606,0.9820382925238057,1.003831232092882
LARX p=12,1.2417685678802008,1.0342578690002153,1.046822224117763,1.0125370702373828
RAR p=12,1.0624135094705691,1.0323124667811576,0.9899396192960256,1.003200760644662
RARX p=12,1.2824225056364158,1.1250640412974364,1.0787815963176361,1.0781595379131386
EAR p=12,1.0483234175654057,1.0317123583447474,0.9805755662369747,1.0045465372821047
EARX p=12,1.270146954161152,1.0348916510579302,1.0553522627443535,1.0128615810895891
TAR p=12,1.1200679856350908,1.0421113037764207,0.9956519633670757,1.0265765468289936
TARX p=12,5.732936435153831,34.57632992106232,2.4132564475446263,4.931928363197564
TRAR p=12,1.0987994571476174,1.0392263882984465,0.9855734177563901,1.0119424195747955
TRARX p=12,1.331756284187452,1.0455492534960407,1.0637183299838395,1.0249039830346502
AR p=24,1.1027394101746493,1.0183079285777328,1.026682602254191,1.0098780342183618
ARX p=24,3.104677133079367,8.541013450472267,1.8312810201988716,3.1000634934755498
LAR p=24,1.0527043293782323,1.0230509992619474,0.9987189452715145,0.9942573287277053
LARX p=24,1.2345244107429432,1.042122817614571,1.0505753904252797,1.0144845617378369
RAR p=24,1.0485289288326056,1.0235615474495363,1.006241002873689,1.0030679496344534
RARX p=24,1.273382475810185,1.112982868724705,1.1086504770068701,1.086876073687141
EAR p=24,1.0514409559834597,1.022523867839367,1.0003577454176018,0.9944523463504491
EARX p=24,1.2425867866593145,1.041900322968477,1.0520069765761313,1.0139678882901149
TAR p=24,1.1024920651402055,1.030849136622307,0.9999441855210937,1.0167680651308226
TARX p=24,2.3991612749164037,6.287428499149402,1.74085373081798,2.6874265356350047
TRAR p=24,1.0863555618942797,1.0344004047559052,0.9923684971888579,1.0137755493786724
TRARX p=24,1.316552993081056,1.0523287980538296,1.078963458094781,1.0432872503963224
